Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Memory_Alloc_MB,Memory_Reserved_MB,Epoch_Time_Sec
1,3.073083503998537,1.7605002809453894,0.11068303354399611,0.07156635802469136,116.51708984375,2908.0,39.43840289115906
2,1.7551057083721466,1.40415448612637,0.12109564900340301,0.40316358024691357,116.51708984375,2908.0,39.32180428504944
3,1.219793719403884,1.1046951391078808,0.42387275157997084,0.4944058641975309,116.51708984375,2908.0,38.78061246871948
4,0.9362610360199117,0.7464119758870866,0.6023745138551289,0.6875,116.51708984375,2908.0,38.95749545097351
5,0.6171321018653757,0.5634023856233668,0.7495715848322799,0.7239583333333334,116.51708984375,2908.0,38.90043926239014
6,0.5315238008684016,0.4103309125811965,0.8064733228001943,0.8294753086419753,116.51708984375,2908.0,38.9168062210083
7,0.45162446430341446,0.4437098166456929,0.8222502430724355,0.8560956790123456,116.51708984375,2908.0,38.846673250198364
8,0.39078354476926164,0.32051413865001116,0.8535974720466699,0.8960262345679012,116.51708984375,2908.0,39.46092343330383
9,0.32471138350466355,0.41008755288742205,0.8765890860476423,0.8431712962962963,116.51708984375,2908.0,39.05146408081055
10,0.33829008656389575,0.32096572661841355,0.8758370807000487,0.8780864197530863,116.51708984375,2908.0,39.17445158958435
11,0.3162257729128083,0.3125861386458079,0.8874377126883811,0.9076003086419753,116.51708984375,2908.0,39.09388256072998
12,0.26302743768867326,0.4464835110637877,0.9087566844919787,0.8408564814814815,116.51708984375,2908.0,39.24772071838379
13,0.26186623141408605,0.2813872901929749,0.9070323894020418,0.9220679012345678,116.51708984375,2908.0,39.12632989883423
14,0.2506372797138551,0.2796611107057995,0.9148851482741858,0.8811728395061729,116.51708984375,2908.0,39.132028341293335
15,0.2045309662141583,0.2319994381180516,0.9262062469615945,0.9328703703703703,116.51708984375,2908.0,39.10423564910889
16,0.22605037015867743,0.34870480056162234,0.9216395235780263,0.9020061728395062,116.51708984375,2908.0,39.13134288787842
17,0.21279456155663506,0.19213132408482056,0.9207204059309674,0.9403935185185185,116.51708984375,2908.0,39.08716678619385
18,0.21316995495621532,0.2079781605689614,0.9258036582401556,0.9268904320987654,116.51708984375,2908.0,39.079415798187256
19,0.2114446287984676,0.24123698638545144,0.9235749878463783,0.9234182098765432,116.51708984375,2908.0,39.24292469024658
20,0.19430032775881775,0.24861998193793827,0.9352166383082159,0.9133873456790123,116.51708984375,2908.0,39.037254095077515
21,0.2165807072710704,0.22426093452506596,0.924298128342246,0.9191743827160493,116.51708984375,2908.0,39.0756893157959
22,0.21803340666434345,0.18080189410183165,0.9161795089936801,0.9429012345679012,116.51708984375,2908.0,39.09511041641235
23,0.13528613518066904,0.19151006211285238,0.9521086533787068,0.9407793209876544,116.51708984375,2908.0,38.95278072357178
24,0.15651932550982678,0.18058811652439613,0.9449091516771998,0.9438657407407407,116.51708984375,2908.0,39.02254939079285
25,0.1572097672478241,0.18907931681584428,0.9434324866310161,0.9467592592592593,116.51708984375,2908.0,38.991719007492065
26,0.12307465696996227,0.1545528786049949,0.9596287068546426,0.9525462962962963,116.51708984375,2908.0,39.13934779167175
27,0.13422443480654198,0.23203577901478167,0.9555071098687409,0.923804012345679,116.51708984375,2908.0,38.96838593482971
28,0.14026199964517577,0.1911779803534349,0.9536962202236265,0.9346064814814815,116.51708984375,2908.0,38.85136127471924
29,0.1128150749413725,0.173347442790314,0.9615641711229946,0.9463734567901234,116.51708984375,2908.0,39.063523292541504
30,0.11790327074872778,0.1652022964424557,0.9615094798249879,0.9471450617283951,116.51708984375,2908.0,38.896236419677734
31,0.1026733726721237,0.16437014426898072,0.9643078512396693,0.9475308641975309,116.51708984375,2908.0,38.95188045501709
32,0.10906948610383241,0.16396774827606148,0.9630545089936801,0.9444444444444444,116.51708984375,2908.0,39.058855295181274
33,0.1322342200991623,0.1980852614398356,0.9557714511424404,0.9332561728395062,116.51708984375,2908.0,39.108540773391724
34,0.11878743490831738,0.15366219798171962,0.9618148395721925,0.9519675925925926,116.51708984375,2908.0,39.010486364364624
35,0.1108856544964374,0.19311327583811902,0.96173128342246,0.9436728395061729,116.51708984375,2908.0,39.015466928482056
36,0.08012060738382812,0.1406311500403616,0.9745153743315508,0.9537037037037037,116.51708984375,2908.0,39.169143199920654
37,0.09375850145112384,0.2146537709567282,0.9704499878463783,0.9315200617283951,116.51708984375,2908.0,39.06339454650879
38,0.0863876140472245,0.15570287930744667,0.9723429144385026,0.9490740740740741,116.51708984375,2908.0,38.86206650733948
39,0.07438054439776084,0.165786222451263,0.9746277953330093,0.9456018518518519,116.51708984375,2908.0,39.089691162109375
40,0.08644746147335212,0.16800221924980482,0.968639098201264,0.9533179012345678,116.51708984375,2908.0,38.91187930107117
41,0.09201042784407815,0.24408212856010156,0.9667036339329119,0.9282407407407407,116.51708984375,2908.0,39.010748863220215
42,0.12545552518079306,0.169451878854522,0.9570521390374331,0.9508101851851852,116.51708984375,2908.0,38.84305810928345
43,0.0663084914848049,0.174527774254481,0.9801136363636364,0.9498456790123456,116.51708984375,2908.0,39.29113578796387
44,0.068299694664099,0.164280048330073,0.9798492950899368,0.9492669753086419,116.51708984375,2908.0,38.929238080978394
45,0.09988315979686173,0.15118475078984542,0.9663131988332523,0.9596836419753086,116.51708984375,2908.0,38.84374380111694
